age,education_level,experience_years,num_certificates,english_level,score_test,has_recommendation,city_size,hired
26,master,9,1,basic,72.56171403522194,0,medium,1
41,bachelor,18,1,basic,69.24998336950922,0,large,0
18,bachelor,0,4,intermediate,89.80878411035897,0,medium,0
25,high_school,10,0,advanced,61.45421195722438,1,small,0
41,bachelor,26,4,intermediate,59.430456370096664,0,large,0
28,bachelor,9,1,intermediate,52.87308369400008,0,small,0
34,master,16,0,intermediate,70.33345533760149,0,medium,1
25,master,12,0,basic,54.37652661056722,1,large,1
52,primary,34,0,intermediate,48.06821859590689,1,small,0
52,master,38,1,intermediate,53.943741353374136,0,medium,0
50,primary,30,2,basic,50.79780251548736,1,large,0
22,high_school,0,1,basic,49.91064961148379,1,medium,0
59,bachelor,40,1,intermediate,66.27963296962908,0,medium,0
56,high_school,33,2,intermediate,62.08195106581683,0,medium,0
58,bachelor,35,0,intermediate,73.24389040258451,0,medium,0
45,primary,32,0,basic,67.20844814572041,0,large,0
24,high_school,5,2,basic,46.95917426333969,0,medium,0
26,bachelor,7,1,basic,33.16173841728646,1,medium,0
25,bachelor,8,3,basic,49.15762298207315,1,large,1
29,master,7,1,intermediate,76.45649696010099,0,medium,1
51,bachelor,33,1,basic,76.11664813859556,0,large,0
50,bachelor,28,3,intermediate,79.77016279280325,0,small,1
40,high_school,26,2,intermediate,77.56909944420164,0,medium,0
41,primary,22,4,intermediate,81.30718316566721,0,medium,0
54,high_school,34,3,intermediate,71.09474576224386,0,small,0
52,bachelor,39,2,basic,92.04411476396085,0,large,1
57,bachelor,40,0,intermediate,69.40475871595325,0,large,0
39,bachelor,20,1,advanced,94.98895726677596,0,small,1
44,bachelor,22,4,intermediate,55.6041713792641,0,medium,0
52,bachelor,36,2,basic,55.220908610528326,1,medium,1
18,primary,2,2,advanced,62.11426173769942,0,medium,0
52,high_school,34,2,intermediate,64.43780819279361,0,large,0
54,master,33,2,intermediate,60.181339686097395,0,small,1
31,bachelor,11,1,intermediate,73.09501816944666,0,large,0
20,master,0,1,basic,63.465190749776895,0,medium,0
18,high_school,3,1,intermediate,55.89237087572901,0,medium,0
22,phd,8,1,intermediate,59.05957671400117,0,small,0
43,high_school,24,6,advanced,83.26434762625156,0,large,1
31,primary,15,1,basic,69.75748766725063,1,medium,0
56,phd,35,3,intermediate,39.85584662636512,1,small,1
44,high_school,24,0,advanced,87.65936629004243,0,small,0
26,bachelor,6,0,basic,71.50262914566379,0,medium,0
32,high_school,16,2,advanced,74.58696186261214,0,small,1
32,bachelor,17,1,basic,78.93607151666089,0,medium,0
43,master,22,3,basic,79.7109816798768,0,large,1
59,high_school,40,0,intermediate,51.21329613196223,0,medium,0
30,bachelor,15,0,intermediate,48.946778183643865,0,small,0
49,high_school,27,1,basic,100.0,1,small,0
56,bachelor,36,0,intermediate,54.528833762821456,0,small,0
49,high_school,28,4,basic,70.67980205157046,0,large,0
21,high_school,5,2,basic,89.47197450189361,0,small,0
47,high_school,27,3,intermediate,58.347410636779706,0,small,0
54,high_school,39,1,intermediate,59.598163395040245,1,large,0
40,master,17,3,basic,78.89696129971689,0,medium,1
56,high_school,33,1,intermediate,68.19310808365228,1,medium,0
32,high_school,12,1,intermediate,72.42668682148867,0,large,0
60,bachelor,39,0,basic,63.79360135528085,1,medium,0
46,high_school,25,2,intermediate,57.10450785426359,0,small,0
53,bachelor,39,5,basic,60.00588333346924,0,large,0
30,phd,8,2,intermediate,82.90963871131991,1,small,1
49,bachelor,35,3,advanced,60.565718163703515,1,medium,1
24,master,10,3,advanced,71.43085508580862,1,large,1
39,bachelor,17,0,basic,50.467993961183375,0,large,0
45,high_school,29,2,intermediate,95.6041871437273,1,medium,1
19,bachelor,0,3,intermediate,69.78312215532058,0,medium,0
59,bachelor,40,2,advanced,70.09418095435055,0,small,1
23,bachelor,9,1,advanced,78.89418090374582,0,medium,1
45,master,24,1,intermediate,57.78656341747171,0,medium,0
45,bachelor,23,2,advanced,82.90622189885381,0,medium,1
37,master,22,0,advanced,42.255424736661894,0,large,1
47,master,28,1,intermediate,55.78369307264799,0,medium,0
28,bachelor,9,0,intermediate,52.98158376265591,0,small,0
45,bachelor,27,0,intermediate,36.79103286912988,1,medium,0
42,high_school,22,2,intermediate,57.06972421786614,0,small,0
56,phd,39,3,intermediate,64.22072568727555,0,small,1
50,bachelor,33,4,intermediate,48.6512222158763,0,small,0
18,primary,5,3,basic,46.485151905587784,0,large,0
44,high_school,29,0,advanced,65.61612771343125,1,large,0
30,bachelor,12,2,advanced,63.80012730658804,0,large,1
58,primary,35,2,basic,61.013834075025045,0,medium,0
20,primary,5,3,intermediate,46.008023835650725,1,small,0
56,bachelor,40,1,intermediate,59.08194548286971,1,small,0
23,high_school,8,1,intermediate,55.00588446510771,1,small,0
25,bachelor,6,1,intermediate,66.28817806637379,1,large,0
44,high_school,27,1,intermediate,56.61751560995272,1,small,0
26,high_school,3,2,intermediate,64.41869081182445,1,small,0
54,bachelor,34,2,advanced,45.33773586787998,0,large,1
50,bachelor,36,1,intermediate,44.04729726403147,1,small,0
59,high_school,39,2,intermediate,73.36309997009919,0,medium,0
41,high_school,22,1,intermediate,76.48028624431772,1,medium,0
32,bachelor,14,1,advanced,59.10913805261349,0,large,0
49,primary,29,1,basic,65.41454191561607,0,large,0
49,high_school,31,0,intermediate,58.2543020687641,0,medium,0
41,primary,27,1,advanced,81.4583859967955,1,large,1
58,master,40,1,intermediate,61.95348549077875,0,large,0
29,master,8,3,advanced,57.51686520695382,1,large,1
56,master,40,1,basic,79.49448279604677,0,large,1
19,bachelor,3,2,advanced,53.388795399666854,0,small,0
20,bachelor,0,1,intermediate,67.34924504759897,0,small,0
54,bachelor,32,0,advanced,49.27295015982717,0,medium,0
34,bachelor,12,0,intermediate,74.96824429912152,0,medium,0
19,primary,5,2,basic,77.23128289316737,0,large,0
19,bachelor,4,1,intermediate,45.66959302512498,0,small,0
45,master,30,1,intermediate,43.33037312040937,1,medium,1
40,bachelor,25,1,intermediate,69.32812555270574,0,medium,0
54,high_school,31,1,intermediate,94.11228483842984,1,medium,0
49,high_school,32,0,intermediate,78.2595660859072,0,small,0
50,bachelor,37,1,basic,61.81497799121582,1,small,0
18,bachelor,0,3,intermediate,52.18548088786247,1,small,0
36,master,23,1,basic,46.758176607098775,1,medium,1
19,high_school,4,3,basic,75.75611537921621,0,medium,0
43,master,27,1,intermediate,78.84161178036553,1,small,1
49,bachelor,28,3,intermediate,55.532609072119,0,large,0
23,master,0,0,advanced,61.29907733434572,1,large,1
49,bachelor,34,1,intermediate,65.70434507172055,1,small,0
21,bachelor,7,1,advanced,92.19269688292243,1,large,1
28,bachelor,5,1,basic,65.97729737814642,0,small,0
34,bachelor,13,2,advanced,50.28572217616936,0,large,1
55,phd,37,0,advanced,47.65036544051543,0,large,1
41,primary,23,0,intermediate,51.33163590195487,1,small,0
22,primary,9,0,basic,83.96033013946348,0,large,0
51,master,37,1,intermediate,72.69710598618437,0,small,1
23,bachelor,3,1,basic,59.81759519992458,0,large,0
39,bachelor,17,2,intermediate,21.120550457032316,0,medium,0
28,bachelor,14,4,basic,52.21051792512691,0,medium,0
33,primary,15,3,intermediate,70.15954140662393,1,large,1
50,master,36,1,basic,70.28251421754965,0,small,1
26,bachelor,7,0,basic,70.15188610256935,0,medium,0
23,high_school,5,1,basic,44.790428162584604,0,small,0
33,high_school,16,4,basic,67.65502085837832,1,medium,0
46,master,33,0,intermediate,50.36134260416025,1,large,1
20,primary,5,0,intermediate,65.02836541253295,1,large,0
37,master,20,1,intermediate,53.48338575558524,1,medium,1
53,high_school,33,0,intermediate,81.05647904999182,1,large,0
36,bachelor,22,2,basic,70.06170445986376,0,small,1
43,master,24,4,intermediate,62.851509741548085,1,large,1
20,bachelor,2,4,intermediate,85.70566494436142,0,small,0
36,bachelor,21,1,advanced,59.41261231072225,0,small,0
37,bachelor,18,4,intermediate,43.77390501929321,0,medium,0
49,high_school,30,0,intermediate,80.83810303396504,0,medium,0
24,high_school,7,2,intermediate,68.78314788022725,0,medium,0
58,phd,36,2,advanced,60.21984227970155,1,large,1
50,master,29,3,advanced,55.34382074846998,0,medium,1
57,bachelor,35,1,intermediate,72.66175314761256,1,medium,1
56,high_school,40,2,basic,77.2045256650625,1,medium,1
35,primary,21,4,intermediate,53.499276218211875,0,large,0
57,primary,35,1,basic,73.4801030553749,0,medium,0
18,bachelor,0,2,intermediate,68.7590915175256,0,large,0
28,master,10,0,intermediate,52.55870833960792,0,small,0
45,bachelor,26,3,intermediate,65.05787645047596,1,medium,1
42,master,29,2,intermediate,56.800211289598394,0,medium,1
40,primary,21,1,basic,83.60507306617413,0,medium,0
48,high_school,26,2,advanced,55.26624090800487,1,medium,1
47,high_school,25,4,basic,87.63310694194297,1,medium,1
59,bachelor,36,1,basic,66.97117145993543,0,medium,0
52,primary,31,0,intermediate,38.81730419802337,1,medium,0
24,phd,11,0,advanced,32.4032209227819,0,large,1
33,high_school,16,1,intermediate,61.87089284463645,1,small,0
43,master,30,1,intermediate,85.00439280662508,0,medium,1
19,bachelor,0,1,intermediate,83.45929766657466,1,small,0
18,phd,1,1,basic,67.49469617890384,0,medium,0
29,bachelor,14,0,intermediate,53.9439714610212,1,small,0
22,master,4,1,intermediate,58.74051884300965,1,medium,0
54,primary,32,2,advanced,68.1102491581989,1,large,1
49,bachelor,26,1,basic,81.30959725446189,1,small,1
26,master,3,2,intermediate,73.53799664995607,1,large,1
58,high_school,40,1,intermediate,79.52426849295983,1,small,0
52,primary,37,3,intermediate,74.6551198578806,1,large,1
36,bachelor,18,1,intermediate,79.08327360420996,0,small,0
33,master,15,0,intermediate,31.0820065601515,1,medium,1
20,bachelor,0,2,basic,51.61163298192291,0,medium,0
37,bachelor,15,2,advanced,48.427808180462115,1,medium,1
41,high_school,27,1,intermediate,47.00214839357998,1,medium,0
50,primary,29,2,intermediate,65.0835529078104,1,large,0
41,master,20,3,intermediate,43.290808854193855,1,large,1
28,primary,12,2,intermediate,50.843505766997545,0,large,0
25,bachelor,7,2,intermediate,63.51941727778478,1,small,1
53,master,36,2,intermediate,40.945868180358204,0,small,1
55,high_school,40,1,basic,57.70747846374723,0,large,0
57,bachelor,34,0,intermediate,74.5826453413132,1,small,1
37,primary,15,1,basic,46.61873731641221,1,small,0
52,bachelor,37,2,intermediate,76.94448141832518,1,small,1
42,high_school,23,2,intermediate,52.907395904275646,1,medium,0
52,bachelor,32,0,basic,69.07473855087936,0,medium,0
42,high_school,19,2,intermediate,48.40695036402959,0,small,0
46,bachelor,31,2,basic,71.8003959170709,0,small,1
35,bachelor,22,3,advanced,60.44625823924908,0,medium,1
35,high_school,20,2,basic,71.9929543205836,0,small,0
19,bachelor,0,2,advanced,56.82200481958799,1,small,1
52,high_school,37,0,intermediate,73.34093035422227,0,medium,0
33,bachelor,19,2,basic,77.70349581971251,1,medium,1
58,high_school,35,2,basic,66.79587542983728,0,small,0
53,bachelor,34,0,basic,57.80687389774122,1,medium,0
50,high_school,27,2,basic,61.4945783296367,0,large,0
21,bachelor,1,2,basic,46.036028378253675,1,small,0
50,high_school,31,0,intermediate,68.04377688211619,0,small,0
31,bachelor,18,2,basic,74.34444912606533,1,medium,1
38,high_school,17,0,intermediate,88.49403566743551,1,small,0
37,master,15,1,intermediate,84.62465846690793,1,medium,1
25,master,7,1,intermediate,50.34019482324891,0,large,0
24,high_school,11,2,basic,68.18161208789121,1,small,0
20,bachelor,0,3,advanced,63.00520474615436,1,medium,1
34,primary,20,2,intermediate,83.26994333836825,1,large,1
50,high_school,27,3,intermediate,54.36241009161872,0,large,0
29,bachelor,16,0,basic,78.1712145668934,1,medium,1
39,bachelor,20,2,intermediate,50.19451451562823,0,small,0
39,bachelor,17,1,intermediate,63.41028119155274,0,medium,0
47,high_school,25,0,advanced,51.73233018508337,1,large,0
55,high_school,35,2,advanced,35.52438839793514,1,large,1
55,high_school,35,2,intermediate,51.43374156376677,0,large,0
25,bachelor,5,3,intermediate,61.1373139905259,0,medium,0
44,bachelor,27,1,intermediate,86.39253959549944,1,medium,1
44,bachelor,21,1,basic,48.68972438364861,1,medium,0
51,high_school,35,1,intermediate,55.91405028584957,1,medium,0
38,high_school,24,2,basic,43.3947632752584,1,small,0
47,high_school,32,1,intermediate,82.32918654984181,0,large,0
50,primary,36,1,basic,58.09306894178335,0,small,0
45,high_school,27,0,intermediate,59.924499964869035,0,small,0
50,master,30,1,intermediate,59.78398154150175,0,medium,0
22,master,4,2,intermediate,35.741433393046954,0,large,0
36,bachelor,22,1,intermediate,43.00091546507926,0,medium,0
21,bachelor,4,3,intermediate,50.72326681077976,0,small,0
52,primary,34,1,advanced,74.24025078821693,1,large,1
34,master,21,3,intermediate,27.511333104221684,0,medium,1
45,primary,22,2,intermediate,73.11960098695045,0,medium,0
47,master,28,0,advanced,70.14647655601523,0,large,1
46,bachelor,30,2,basic,37.7766557819388,0,medium,0
23,high_school,7,0,intermediate,60.24541838370616,1,large,0
52,master,38,2,intermediate,82.45790666621667,0,small,1
58,primary,40,5,basic,48.94218043138821,0,small,0
54,bachelor,34,1,basic,56.720349591668906,1,medium,0
41,bachelor,27,1,intermediate,100.0,0,medium,0
46,high_school,28,1,basic,69.88846812959164,1,medium,0
48,bachelor,31,0,basic,61.13009073621921,0,large,0
52,bachelor,33,0,intermediate,57.84412067832339,0,large,0
50,bachelor,37,3,intermediate,70.5958943253758,0,large,1
38,primary,22,1,intermediate,75.27362424833248,0,medium,0
49,master,28,0,basic,32.66357731744131,0,large,0
40,high_school,24,0,basic,31.490966625650643,0,medium,0
50,high_school,31,3,intermediate,50.02929240286756,0,large,0
20,high_school,0,0,intermediate,62.69234904730006,1,large,0
35,primary,17,2,advanced,66.13353896538007,0,small,0
42,high_school,20,4,intermediate,39.44812169492907,0,small,0
59,phd,40,0,advanced,61.92824519426641,1,medium,1
48,high_school,33,0,basic,63.92241651646456,0,medium,0
20,high_school,0,1,intermediate,52.252288849956656,0,small,0
57,high_school,40,4,intermediate,56.98264468416817,1,large,0
41,bachelor,21,2,intermediate,54.10248724647487,0,medium,0
49,master,29,1,advanced,71.96450459632837,1,small,1
39,high_school,19,5,intermediate,65.10304286166217,0,small,0
40,primary,19,0,intermediate,47.865744963121415,0,medium,0
19,high_school,0,1,advanced,79.3257012353724,0,medium,0
44,primary,29,3,basic,44.49061055235495,1,small,0
59,high_school,40,0,basic,39.306369884023695,0,medium,0
19,bachelor,3,1,intermediate,61.32273932707646,0,small,0
43,high_school,29,2,basic,61.246705559806095,1,large,0
34,bachelor,12,3,intermediate,66.09180533237802,0,medium,0
57,high_school,40,1,advanced,47.28018486355072,1,large,0
50,master,36,3,intermediate,78.39620697974603,1,large,1
26,master,4,0,intermediate,90.72106770321544,0,medium,0
60,bachelor,40,1,basic,64.6752742682182,0,medium,0
56,high_school,37,2,intermediate,69.74015616029716,1,medium,0
46,high_school,29,0,basic,33.27288490627238,1,large,0
59,bachelor,40,2,intermediate,58.4766507747884,0,medium,0
43,bachelor,25,2,basic,54.56005257653034,0,medium,0
52,bachelor,36,0,intermediate,52.12842961405461,0,medium,0
42,master,19,3,intermediate,55.13748775306518,1,small,1
41,master,28,1,intermediate,56.63427341635126,0,medium,0
30,high_school,7,2,basic,43.17600552561388,0,large,0
24,bachelor,5,2,basic,57.6909805383346,0,small,0
53,primary,30,1,intermediate,49.37477850943115,0,medium,0
37,high_school,16,1,advanced,76.82500028966255,1,medium,1
18,bachelor,4,0,intermediate,69.95494548626371,1,large,0
25,high_school,10,0,intermediate,69.97550019945857,0,large,0
33,master,16,2,advanced,79.65179579887779,0,large,1
31,high_school,13,1,basic,52.6058130692811,1,medium,0
29,bachelor,13,1,intermediate,69.04683535866802,1,large,0
40,bachelor,24,0,intermediate,81.05329677901415,1,medium,1
32,bachelor,14,0,basic,51.557584162638214,0,medium,0
45,high_school,25,2,advanced,34.56243117878108,0,small,0
51,master,31,1,intermediate,54.63961146173914,0,large,0
19,bachelor,0,0,basic,79.34781239852822,1,medium,0
49,bachelor,31,3,basic,50.703954356381615,0,medium,0
40,primary,17,1,intermediate,58.023511952871196,1,small,0
39,bachelor,17,1,intermediate,53.3045739307955,0,medium,0
42,master,24,0,advanced,62.14469561159941,0,large,1
39,bachelor,26,2,intermediate,49.27246560828202,0,large,0
39,master,16,1,intermediate,42.75313616575994,0,large,0
59,bachelor,40,1,basic,58.38729643699524,1,medium,0
23,high_school,5,1,basic,60.94386819383013,0,small,0
32,primary,15,2,intermediate,81.74722031631104,0,medium,0
60,high_school,37,3,advanced,65.99393262344469,0,medium,0
54,bachelor,38,1,intermediate,47.4242736604598,0,medium,0
50,master,31,2,intermediate,54.024771212112306,0,medium,1
25,high_school,6,0,intermediate,75.70239203100886,0,small,0
22,bachelor,4,2,intermediate,58.64275557462614,0,large,0
56,bachelor,39,2,basic,48.60339661347474,0,large,0
21,bachelor,4,0,intermediate,66.23493527188047,1,small,0
23,high_school,4,2,intermediate,53.15167740536742,0,medium,0
49,high_school,26,0,intermediate,72.17217238305857,1,medium,0
47,high_school,34,1,intermediate,70.44449215143551,1,small,0
52,primary,37,2,basic,47.78929637719631,1,large,0
57,high_school,39,3,intermediate,91.7745283333626,0,small,0
33,primary,18,1,intermediate,63.15576733110765,0,medium,0
30,bachelor,17,0,basic,25.04337205192052,0,medium,0
59,high_school,39,1,intermediate,70.70832136172476,0,large,0
47,phd,25,1,intermediate,26.02591022572465,0,medium,0
36,high_school,15,2,advanced,80.5974502971201,0,large,1
34,high_school,14,2,advanced,65.85593635882582,1,medium,1
36,high_school,22,2,intermediate,62.80727114867348,0,small,0
45,primary,29,2,basic,63.730253577619266,1,small,0
43,master,22,3,intermediate,72.5261651818044,0,large,1
54,primary,38,2,intermediate,56.522672831498426,1,medium,0
43,master,25,1,intermediate,63.576626703111,1,medium,1
40,master,20,4,basic,65.50059753379495,0,medium,1
26,bachelor,9,2,intermediate,20.51066362783795,1,small,1
29,bachelor,16,1,intermediate,72.63954586821299,0,large,0
18,bachelor,0,2,intermediate,75.17153938951664,1,medium,1
18,high_school,0,2,advanced,70.5114590514918,0,medium,0
51,bachelor,36,2,intermediate,69.45075605636363,1,medium,1
49,primary,28,2,intermediate,87.67178258152747,0,small,0
42,primary,28,3,intermediate,63.06419150042297,0,small,0
57,bachelor,37,1,basic,63.58053019696635,0,medium,0
18,bachelor,0,3,intermediate,53.94275159845844,0,small,0
33,master,10,3,intermediate,35.01893120189939,0,medium,1
56,high_school,39,3,intermediate,70.59407222040632,1,small,1
22,master,6,2,intermediate,55.56216095592238,1,large,1
39,high_school,21,2,intermediate,34.855214473364626,0,small,0
46,high_school,31,1,intermediate,62.5971779132943,0,large,0
20,high_school,0,1,intermediate,62.177895746850325,0,small,0
29,bachelor,7,3,intermediate,60.272484908382005,0,large,0
43,high_school,24,1,intermediate,65.7600332462173,0,medium,0
33,bachelor,18,1,basic,40.31050090094301,1,medium,0
54,master,40,0,intermediate,78.60723976498517,1,small,1
39,bachelor,16,3,intermediate,70.2279813049993,0,small,1
46,bachelor,23,4,intermediate,82.36655909141426,1,medium,1
31,master,17,2,basic,55.40597223373885,1,medium,1
45,bachelor,24,3,intermediate,70.17780897610753,1,medium,1
22,bachelor,8,0,intermediate,35.695240940109954,1,small,0
47,high_school,26,2,basic,51.22377335825189,0,medium,0
22,master,3,1,advanced,43.14281260837033,0,medium,0
29,bachelor,9,2,intermediate,67.62318138209073,0,small,0
33,high_school,15,2,advanced,47.158465554248636,0,large,0
43,high_school,27,3,intermediate,57.16463403541977,1,large,0
43,master,27,0,basic,63.665658440803455,1,medium,1
38,primary,25,1,intermediate,57.61327029946279,0,medium,0
56,phd,36,1,intermediate,43.98267360893733,0,medium,0
53,high_school,30,1,intermediate,88.4166094336266,0,small,0
50,master,33,3,intermediate,65.45592103679091,1,medium,1
47,high_school,29,1,intermediate,88.55150964127944,0,small,0
54,bachelor,35,0,basic,48.24793810873652,0,medium,0
40,master,20,4,intermediate,58.08955426810074,0,large,1
27,bachelor,9,3,intermediate,65.03121912358776,1,medium,1
22,bachelor,6,1,intermediate,86.71236373189903,0,small,0
53,primary,35,1,basic,88.44549443297578,1,medium,0
51,primary,30,1,intermediate,57.213986650683104,0,large,0
48,high_school,33,2,intermediate,52.781624800260786,1,small,0
27,bachelor,6,1,intermediate,63.644528032231925,0,medium,0
36,high_school,16,2,intermediate,81.73102982835496,1,large,1
49,high_school,30,1,intermediate,65.76311001185628,1,large,0
18,bachelor,5,1,basic,68.49943808917465,0,large,0
22,bachelor,0,1,advanced,81.59191806212556,0,large,0
21,bachelor,8,6,intermediate,79.17228797974605,0,small,1
33,high_school,19,2,intermediate,79.75213628984315,0,small,0
41,primary,28,0,intermediate,74.33063403122463,1,small,0
33,master,19,1,basic,85.28144990206386,1,small,1
19,high_school,0,1,intermediate,46.774264684158325,1,small,0
45,master,27,5,intermediate,98.73893999487865,0,large,1
49,master,27,1,intermediate,80.90538748599201,0,large,1
44,master,30,1,basic,62.595374761843324,1,medium,1
37,high_school,14,3,intermediate,81.64572108892835,1,large,1
41,master,25,2,basic,59.78830393620605,0,medium,1
29,master,15,5,advanced,72.12238291433073,0,small,1
52,bachelor,38,1,basic,73.87962307796613,0,medium,0
50,high_school,27,0,advanced,77.9322745728198,0,medium,0
50,high_school,36,3,advanced,58.104880347318066,0,small,0
60,high_school,40,2,intermediate,78.25075150863658,0,large,0
54,bachelor,31,2,advanced,58.37147234003534,0,medium,1
29,bachelor,13,1,advanced,75.96460712380302,0,medium,1
20,high_school,1,3,basic,64.73181661533836,0,large,0
18,bachelor,0,1,advanced,37.64060322561342,1,large,0
50,high_school,31,0,basic,53.948609198350795,0,medium,0
57,bachelor,34,1,basic,77.72183898218049,1,small,1
27,master,4,2,intermediate,60.4452434470622,0,small,0
60,high_school,40,1,basic,83.20321768711298,0,medium,0
46,high_school,31,0,basic,46.80060983016722,1,large,0
30,high_school,15,2,advanced,75.44206517616213,1,large,1
29,bachelor,6,2,advanced,64.28701557441167,1,small,1
48,bachelor,27,3,intermediate,61.29822164936189,1,large,1
19,master,0,2,intermediate,47.325414944085026,0,small,0
52,high_school,30,0,advanced,68.1503051611805,1,large,0
40,phd,23,0,basic,49.86654724713808,0,small,0
34,primary,13,0,advanced,55.45908646176946,1,small,0
43,bachelor,20,1,intermediate,62.8899818238339,0,medium,0
25,primary,2,2,advanced,59.51412088434295,1,large,0
46,master,25,2,intermediate,80.416847272486,1,medium,1
43,bachelor,25,2,advanced,26.14770126247224,1,large,1
27,bachelor,7,0,advanced,62.324367176358265,0,large,0
43,master,20,1,advanced,59.558320928934585,0,small,1
51,high_school,34,1,intermediate,64.87233471354355,1,large,0
58,primary,36,1,advanced,56.83587843588949,0,small,0
24,master,5,2,intermediate,80.35821702465745,0,medium,1
21,high_school,5,1,basic,61.134307525090705,0,large,0
28,high_school,11,1,intermediate,66.99419402683276,0,medium,0
46,bachelor,33,2,basic,78.3838371725914,1,large,1
